"ID товари";Каталог;Вендор;"Товарна пропозиція";"Прив'язана картка";"Роздр. ціна, грн";Гарантія;Посилання;"Посилання в каталозі";"Наявність валідної картинки";"Статус товару";Стан;Причина
2744623177;"Спальні мішки";"No brand";"Зимний спальный мешок Kiborg ""Alaska Duspo"" -20°C олива (85x210)";"Nobrand ";3450;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627100;"Тактичне спорядження та амуніція";"No brand";"Маскирующая сетка Militex Пиксель 6х10м (площадь 60 кв.м.)";"Nobrand ";3000;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626100;"Тактичний (військовий) одяг та взуття";"No brand";"Демисезонные тактические ботинки Belleville Vapor Boot Койот";"Nobrand ";9940;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627075;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, олива | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2744623192;"Тактичний (військовий) одяг та взуття";"No brand";"Летние функциональные боевые штаны Military Мультикам";"Nobrand ";1950;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626030;"Тактичне спорядження та амуніція";"No brand";"Универсальная сумка-банана олива";"Nobrand ";600;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627080;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, олива | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2744622250;Термобілизна;"No brand";"Треккинговые носки Compass Коричневый 40-42";"Nobrand ";220;;;;ні;"не вивантажений";;"Некоректний вендор"
2744623210;"Спальні мішки";"No brand";"Спальный мешок Militex Ankar мультикам -15С 90*230";"Nobrand ";3200;;;;ні;"не вивантажений";;"Некоректний вендор"
2744626091;"Тактичний (військовий) одяг та взуття";"No brand";"Летние ботинки Belleville Minimalist Trainning Койот с полиуретановой стелькой";"Nobrand ";9920;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627084;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, койот | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2744623244;"Тактичне спорядження та амуніція";"No brand";"Сумка-напашник M Kiborg GU Cordura Pixel";"Nobrand ";870;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627093;"Тактичне спорядження та амуніція";"No brand";"Маскирующая сетка Militex Пиксель 3х5м (площадь 15 кв.м.)";"Nobrand ";750;;;;ні;"не вивантажений";;"Некоректний вендор"
2744623187;"Тактичний (військовий) одяг та взуття";"No brand";"Летние функциональные боевые штаны Military Мультикам";"Nobrand ";1950;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627065;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические летние брюки GECON BR | Nylon-Stretch | Цвет койот";"Nobrand ";2325;;;;ні;"не вивантажений";;"Некоректний вендор"
2744623201;"Аксесуари для стрілецької зброї";"No brand";"Двухточечный оружейный ремень с быстрой регулировкой Multicam USA (крепление стропой в обхват)";"Nobrand ";1090;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627086;"Тактичний (військовий) одяг та взуття";"No brand";"Тактические шорты BR Stinger | Стрейч, койот | Лето, ТрО, полевые условия";"Nobrand ";1700;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627099;"Тактичне спорядження та амуніція";"No brand";"Маскирующая сетка Militex Пиксель 5х10м (площадь 50 кв.м.)";"Nobrand ";2500;;;;ні;"не вивантажений";;"Некоректний вендор"
2744627031;"Тактичний (військовий) одяг та взуття";"No brand";"Трикотажная футболка «ARNO» производитель Militex — Мультикам";"Nobrand ";890;;;;ні;"не вивантажений";;"Некоректний вендор"
